vin,report_time,is_reissue,vehicle_status,charging_status,working_model,speed,mileage,total_voltage,total_current,soc,gears_position,bir,engine_status,is_location,longitude,latitude,pbsnwmax_voltage,onocwmin_voltage,max_vofcells,pbsnwmin_voltage,onocwmax_voltage,min_vofcells,pbsnwmax_temperature,onocwmax_temperature,max_temperature,pbsnwmin_temperature,onocwmin_temperature,min_temperature,high_warning_level,ala_sign,dcdc_state,brake_speed_value,accelerate_speed_value,latitude_state,longitude_state,warning,drive_motor_data,pbpv_data,pbpt_data,total_pb_probes,rowkey,have_driving_force,have_braking_force,pbpv_number,crank_shaft_speed,fuel_consumption,gcj_latitude,gcj_longitude,bd_latitude,bd_longitude,adcode,receive_time,braking_status,drive_status,bms,esc,ac,acu,sas,avas,bcm,egsm,vcan,evcan,pcu,ipu,obc,tbox,extend_field,alarm_extend,operation_mode,ver,len,src,ipu_diag_cnt,bms_diag,vcu1331,vcu1332,car_lock,battery_lock,car_type,dt
LB378LCZ0PB000586,2023/6/15 15:40,0,1,3,1,10.4,1667.8,330.8,13.5,69,62,29535,2,0,121.240791,30.339335,1,13,3.309,1,1,3.307,1,5,32,1,3,31,0,0,1,0,12,0,0,,"[{controllertemperature:43, drivemotorindex:1, drivingmotorcurrent:10.9, drivingmotornumber:1, drivingmotorspeed:729, drivingmotorstatus:1, drivingmotortemperature:48, drivingmotortorque:40.0, drivingmotorvoltage:329.2}]","[{cells:100, current:13.5, packageid:1, thispackage:1, totalcells:100, units:[3.309, 3.309, 3.309, 3.309, 3.308, 3.308, 3.309, 3.309, 3.309, 3.309, 3.308, 3.309, 3.307, 3.308, 3.308, 3.308, 3.308, 3.309, 3.308, 3.309, 3.309, 3.309, 3.309, 3.308, 3.309, 3.307, 3.308, 3.308, 3.309, 3.308, 3.308, 3.308, 3.308, 3.308, 3.309, 3.308, 3.309, 3.308, 3.309, 3.309, 3.308, 3.309, 3.308, 3.309, 3.309, 3.308, 3.308, 3.309, 3.308, 3.309, 3.308, 3.309, 3.308, 3.308, 3.309, 3.308, 3.308, 3.308, 3.308, 3.308, 3.308, 3.308, 3.308, 3.307, 3.308, 3.307, 3.307, 3.309, 3.308, 3.308, 3.308, 3.308, 3.308, 3.309, 3.307, 3.307, 3.308, 3.309, 3.309, 3.307, 3.308, 3.307, 3.307, 3.309, 3.308, 3.309, 3.309, 3.309, 3.308, 3.308, 3.308, 3.308, 3.309, 3.309, 3.308, 3.308, 3.307, 3.308, 3.308, 3.308], voltage:331.0}]","[{packageid:1, units:[31, 31, 31, 31, 32, 31, 31, 31, 31, 31]}]",,685000BP0ZCL873BLRWAANQ,1,1,1,0,0,30.336906,121.245143,30.342649,121.251725,,2023/6/15 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:20,1,2,3,1,0,1659.5,339.9,2.1,100,31,46659,2,0,121.239716,30.340531,1,67,3.549,1,87,3.373,1,1,26,1,4,25,2,8192,1,0,0,0,0,"{batteryposthightem:0, cellovervoltage:0, cellundervoltage:0, dcdcstatus:0, dcdctemperature:0, enginefaultlist:[], enginefaultnumber:0, failureindicationofenergyover:0, failureofbrakingsystem:1, hvinterlockingstate:0, insulationresistance:0, motorcontrollertemperature:0, motorfaultlist:[], motorfaultnumber:0, motortemperaturewarning:0, otherfaultlist:[], otherfaultnumber:0, pbpackmismatch:0, pbpackovervoltage:0, pbpackpoorconsistency:0, pbpackundervoltage:0, powerbatteryfaultlist:[], powerbatteryfaultnumber:0, soclow:0, soctoohigh:0, soctransition:0, temdifference:0}","[{controllertemperature:29, drivemotorindex:1, drivingmotorcurrent:0.0, drivingmotornumber:1, drivingmotorspeed:0, drivingmotorstatus:3, drivingmotortemperature:29, drivingmotortorque:0.0, drivingmotorvoltage:334.7}]","[{cells:100, current:2.1, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T2S,0,1,1,0,0,30.338102,121.244069,30.343844,121.250651,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,1,1,3,1,0,1659.5,339.9,10.2,100,62,30693,2,0,121.239681,30.340508,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,0,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:1.6, drivingmotornumber:1, drivingmotorspeed:63, drivingmotorstatus:1, drivingmotortemperature:29, drivingmotortorque:99.0, drivingmotorvoltage:333.7}]","[{cells:100, current:10.2, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T33,1,1,1,0,0,30.338079,121.244034,30.343821,121.250616,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,1,1,3,1,6,1659.5,339.9,9.6,100,62,27961,2,0,121.239609,30.340425,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,4,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:4.8, drivingmotornumber:1, drivingmotorspeed:437, drivingmotorstatus:1, drivingmotortemperature:29, drivingmotortorque:30.0, drivingmotorvoltage:333.2}]","[{cells:100, current:9.6, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T3D,1,1,1,0,0,30.337996,121.243962,30.343738,121.250544,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,0,1,3,1,5.1,1659.5,339.9,7.8,100,62,33224,2,0,121.239565,30.340332,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,0,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:1.6, drivingmotornumber:1, drivingmotorspeed:407, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:12.0, drivingmotorvoltage:333.2}]","[{cells:100, current:7.8, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T3N,1,1,1,0,0,30.337903,121.243918,30.343645,121.2505,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,0,1,3,1,7.7,1659.5,339.9,8.1,100,30,33704,2,0,121.239774,30.340327,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,2,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:1.5, drivingmotornumber:1, drivingmotorspeed:542, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:8.0, drivingmotorvoltage:332.7}]","[{cells:100, current:8.1, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T3X,0,1,1,0,0,30.337898,121.244127,30.34364,121.250709,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,0,1,3,1,10,1659.6,339.9,9.5,100,62,32830,2,0,121.240047,30.340347,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,4,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:2.1, drivingmotornumber:1, drivingmotorspeed:706, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:8.0, drivingmotorvoltage:332.2}]","[{cells:100, current:9.5, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T47,1,1,1,0,0,30.337918,121.2444,30.34366,121.250982,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:21,0,1,3,1,11.4,1659.6,339.9,13.1,100,62,32883,2,0,121.240364,30.340337,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,6,0,0,,"[{controllertemperature:32, drivemotorindex:1, drivingmotorcurrent:4.5, drivingmotornumber:1, drivingmotorspeed:813, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:16.0, drivingmotorvoltage:331.7}]","[{cells:100, current:13.1, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T4H,1,1,1,0,0,30.337908,121.244716,30.343651,121.251299,,2023/6/15 9:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:22,0,1,3,1,12.3,1659.6,339.9,11.9,100,62,34241,2,0,121.240722,30.340349,1,67,3.549,1,87,3.373,1,1,26,1,4,25,0,0,1,0,5,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:3.1, drivingmotornumber:1, drivingmotorspeed:865, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:11.0, drivingmotorvoltage:331.5}]","[{cells:100, current:11.9, packageid:1, thispackage:1, totalcells:100, units:[3.388, 3.392, 3.401, 3.401, 3.381, 3.382, 3.387, 3.386, 3.5, 3.376, 3.389, 3.401, 3.515, 3.39, 3.414, 3.376, 3.4, 3.387, 3.392, 3.473, 3.381, 3.388, 3.377, 3.395, 3.435, 3.396, 3.382, 3.379, 3.377, 3.374, 3.38, 3.398, 3.395, 3.397, 3.38, 3.429, 3.375, 3.381, 3.395, 3.391, 3.383, 3.379, 3.395, 3.382, 3.377, 3.387, 3.39, 3.405, 3.397, 3.385, 3.396, 3.4, 3.392, 3.398, 3.376, 3.41, 3.388, 3.389, 3.395, 3.405, 3.381, 3.503, 3.384, 3.478, 3.392, 3.395, 3.373, 3.388, 3.388, 3.379, 3.392, 3.387, 3.38, 3.519, 3.419, 3.39, 3.384, 3.38, 3.373, 3.389, 3.38, 3.376, 3.382, 3.38, 3.39, 3.385, 3.549, 3.506, 3.388, 3.386, 3.396, 3.391, 3.432, 3.398, 3.384, 3.38, 3.382, 3.447, 3.399, 3.392], voltage:340.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T4R,1,1,1,0,0,30.33792,121.245074,30.343663,121.251657,,2023/6/15 9:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
LB378LCZ0PB000586,2023/6/15 9:22,0,1,3,1,11.6,1659.7,331.8,5.2,100,30,34241,2,0,121.241009,30.340464,1,16,3.387,1,87,3.309,1,1,26,1,4,25,0,0,1,101,0,0,0,,"[{controllertemperature:31, drivemotorindex:1, drivingmotorcurrent:2.1, drivingmotornumber:1, drivingmotorspeed:786, drivingmotorstatus:1, drivingmotortemperature:30, drivingmotortorque:-11.0, drivingmotorvoltage:332.2}]","[{cells:100, current:5.2, packageid:1, thispackage:1, totalcells:100, units:[3.313, 3.313, 3.316, 3.319, 3.31, 3.31, 3.312, 3.312, 3.375, 3.31, 3.311, 3.316, 3.374, 3.311, 3.323, 3.309, 3.319, 3.312, 3.314, 3.366, 3.311, 3.312, 3.31, 3.315, 3.338, 3.312, 3.311, 3.311, 3.311, 3.31, 3.31, 3.318, 3.315, 3.317, 3.311, 3.337, 3.31, 3.309, 3.313, 3.313, 3.31, 3.31, 3.316, 3.311, 3.31, 3.311, 3.313, 3.323, 3.318, 3.311, 3.315, 3.317, 3.312, 3.316, 3.31, 3.326, 3.311, 3.312, 3.315, 3.322, 3.31, 3.374, 3.31, 3.358, 3.311, 3.314, 3.309, 3.312, 3.312, 3.311, 3.314, 3.312, 3.31, 3.377, 3.327, 3.31, 3.311, 3.311, 3.31, 3.312, 3.31, 3.309, 3.31, 3.311, 3.311, 3.311, 3.387, 3.373, 3.311, 3.311, 3.315, 3.313, 3.341, 3.316, 3.311, 3.31, 3.31, 3.347, 3.316, 3.312], voltage:332.0}]","[{packageid:1, units:[26, 26, 26, 25, 26, 26, 26, 25, 26, 26]}]",,685000BP0ZCL873BLRW9T51,0,1,1,0,0,30.338035,121.245361,30.343778,121.251944,,2023/6/15 9:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G636,20230615
